content,score,at
Nga bisa login,1,2025-02-11 09:07:01
Ganti nama aplikasinya jadi Disney hot radio suara doang GK ada gambar blog..,1,2025-02-11 00:54:15
Saya berlangganan disney 1 bulan. Langganan saya berakhir tanggal 12 februari. Ini masih tanggal 10 februari dan masa langganan belum berakhir. Tapi saldo saya sudah terpotong dan tidak ada pengembalian dana. Tolong tanggapi!,1,2025-02-10 22:57:07
aku suka😄😆,5,2025-02-10 22:45:44
"Kirain filmnya bagus-bagus ternyata jelak kebanyakan kartun, fantasi dan drama tidak jelas.",1,2025-02-10 22:45:24
"Nonton film selalu bufering,email cs tetap nggak ada solusi",1,2025-02-10 21:41:36
Hapus aja aplikasih ini dari play store,1,2025-02-10 20:42:20
"Video susah di putar error Mulu, suara gak ada mending Netflix dah",1,2025-02-10 11:43:41
I Like Disney+ Hotstar!,5,2025-02-09 22:53:25
"Gabisa login padahal jaringan bagus,wifi ga bisa,paket data pun gabisa",1,2025-02-09 20:07:57
"Aplikasi ngga jelas br mau daftar aja udah ngga bisa, klu ngga siap pakai ngga usah launching aplikasi sampah kaya gini",1,2025-02-09 19:38:14
Kenapa Spider verse sedikit?,5,2025-02-09 14:06:58
Payaahhh kode otp udah dimasukin tapi salah mulu. Yang ngirim kode otp kan lu sendiri. Masa kode otp lu yang ngirim lu juga yang salahin. Aneh,1,2025-02-08 22:26:25
"Kenapa pemutaran videonya menjadi lemot sekalii, padahal internet syaa lancar saja di platform lain",3,2025-02-08 20:31:40
Jelek banget deh ap nya.....masak aku. Cuman tertaut 1 pas nonton ad pemberitahuan full screen...maksudnya apa coba ????,1,2025-02-08 18:19:33
Mau nonton film ga bisa2. Tulisannya masalah jaringan. Sudah pakai wifi dan data tetep ga bisa.,1,2025-02-08 12:03:50
KODE VERIFIKASI NYA GABISA ANEHHHHHHHHH GAJELAS NOIY GILA STRESSSSS,1,2025-02-07 21:31:27
"Ya Tuhan Tolong Kembalikan Uang Saya. Tiba Tiba Ketarik Otomatis Di Akun Dana Saya Senilai 65.000,itu sepertinya kepencet fitur langananya,saya mohon kembalikan uang saya,saya sangat membutuhkan uang saya",3,2025-02-07 21:18:19
Suaranya kecil banget beda sama Netflix dan lain2.,2,2025-02-07 17:56:19
Sukanya ngulang ngulang kode Gak masuk juga,1,2025-02-07 17:22:51
Maaaf kasih bintang dua soalnya pas mau login tiba tiba gak bisa login,3,2025-02-07 16:30:53
ini apk sampah. gambar muter2 mulu. gjs,1,2025-02-06 22:28:26
"film banyak yg dihilangkan, bahkan upin ipin, pdhl aku langganan 1 tahun pas tahun 2023 200rb an, skrng 400-700 rb an. mau stop langganan tp aku pecinta princess disney😔",2,2025-02-06 22:26:03
Baik,1,2025-02-06 21:06:11
Tidak ada gambar nya.cuma suara...kembalikan uang saya,1,2025-02-06 15:28:17
Tolong perbanyak dubing seperti aplikasi sebelah dan perbanyak/perlengkap fitur seperti aplikasi sebelah,4,2025-02-05 23:25:12
"subtitle kecil, sering ngelag",1,2025-02-05 19:25:15
Harus bayar klo mau nnton,2,2025-02-05 18:41:23
Untuk login harus logout dulu salah satu akun jadi nya repot,2,2025-02-05 17:37:09
Ini knpa udh download malah ga bisa daftar gabisa di pencet pas mau masukin kode negara nya haduhh,1,2025-02-05 13:56:20
"Min mau nanya, ini masalah yang sering di alami(cuma ada suara, tidak ada gambar) sudah di perbaiki belum ya? Saya ingin berlangganan lagi tapi takut ga bisa di pakai karena masalah tersebut. tolong min bisa bantu jawab",3,2025-02-05 08:52:57
"video selalu buffering , sudah pakai wifi atau data sama saja ratting bintang 1 sebanyak itu ga ada perbaikan aplikasi",1,2025-02-05 00:42:52
Tidak bisa login.,1,2025-02-04 21:11:01
"Yakali gua ngatur subtitle di ytub biar kecil,mlh di disney ikut kecil ,tolong segera diperbaiki",1,2025-02-04 20:22:46
Bagus sihhh tapi filim nya kurang banyak,3,2025-02-04 18:01:23
"Ini kenapa ya?? Kok gada gambarnya pas nonton, cuma ada suaranya 😔😔",1,2025-02-04 16:45:52
Langganannya mihil boss,4,2025-02-04 02:20:02
Rugiiii,1,2025-02-03 23:41:10
Kacau Disney hotstar sekarang ada suara tidak ada gambar untung tidak saya upgrade untuk semua cari aplikasi yang lain saja,1,2025-02-03 18:46:40
Kenapa saat masuk otp tidak bisa masuk ke apk saat di klik,1,2025-02-03 18:37:25
Kualitas download film sudah pilih full hd ketika di play rendering gambar turun seperti streaming ketika koneksi internet jelek.,3,2025-02-03 01:17:31
Kalau pake data seluler lancar tapi kalau pakai wifi gak bisa,1,2025-02-02 21:34:01
"Aplikasi busuk, suara ada gambarnya gak ada. Udh berasa lagi denger radio aja",1,2025-02-02 21:27:26
Najis,1,2025-02-02 20:35:20
"Saran kepada Applikasi Disney Hotstar, baru baru ini, aplikasi sering tidak tampilkan gambar film, hanya ada suara, meski Telah update app...",3,2025-02-02 17:16:22
"Kenapa saya tidak bisa menonton film yg ingin saya tonton padahal saya sudah upgrade ke premium,,selalu loading tolong diperbaiki masa udh beli mahal² g bs dibuka[tidak bisa dibuka pada pukul (16.15)(2 febuari 2025)]",1,2025-02-02 16:30:45
"Udah mah sekarang film disney dah busuk isi harga platform filmnya mahal, siapa yg mau beli terus menerus",1,2025-02-01 21:21:01
Blackscreen for 2 days. Lol i can't even screenshoot because it's when I'm watching something,1,2025-02-01 16:37:36
"Video tdk muncul gambar, hanya ada suara. Sdh uninstall - install lagi tetap tdk bisa. Settingan video sdh mode paling rendah, tetap tdk bisa. Sdh email ke disney hotstar, sdh lakukan langkah2 di email tetap tdk bisa, mana ribet banget step2 nya",1,2025-02-01 16:10:49
"Ini disney aneh banget sumpah tolil, cuma mau masuk doang tinggal masukin kode otp tapi salah terus. Kode otp nya aja sms langsung dari disney tapi disalahin terus. Gimana ceritanyaaaa, ah!",1,2025-02-01 15:39:23
"Selalu saja gangguan koneksi, tidak ada solusi, email tidak ada solusi",1,2025-02-01 13:33:53
"Nyesel berlanganan, aplikasinya ga memadai, tolong di benerin lagi dong",1,2025-02-01 10:00:43
"susah login, dicoba berulang kali tidak bisa",1,2025-02-01 08:59:19
"Aplikasi apa ini.. Setiap nonton film baru.. selalu macet2, kualitas gambar nya di turunkan pun masih bgitu.. Nyesel berlangganan..",1,2025-02-01 08:23:46
Mau login aja ga bisa..masukin no hp terkendala🤦‍♂,1,2025-02-01 07:55:46
Aplikasi taekk.. Padahal sinyal lancar tapi loading minta ampun pas streaming. Emang aplikasi streaming paling taekk.. Nyesel langganan,1,2025-01-31 20:24:37
Mantul,5,2025-01-31 18:59:01
Terima kasih,5,2025-01-31 17:05:53
Mau login eror terus,1,2025-01-31 12:33:11
Udh download sama uninstall berkali² tapi tetap aja gak bisa masuk tulisannya terjadi kesalahan. kemarin bisa tuh masuk ehh pas mau langganan di apknya gak bisa tulisannya terjadi kesalahan,1,2025-01-31 11:24:37
Disney suck,1,2025-01-31 10:26:44
"Kenapa yah cuma bisa satu device saja yang bisa di tonton, padahal saya berlangganan untuk 3 device??? Tolong yang amanah dong, jangan menipu",2,2025-01-30 22:29:49
"Gua nyesel bgt udah bayar bulanan malah gak bisa di tonton, ini kenapa sih disney suara nya doang yg muncul tapi gambar nya gak muncul 😭😮‍💨",1,2025-01-30 20:53:33
Overall bagus cuma saya ada sedikit masalah sama ui nya yg suka ngebut ya cuma itu aja sih,4,2025-01-30 16:09:06
"Langganan sudah dibatalkan tapi dana tetap di debet. Langganan saya berakhir 31 Januari, dan sudah melakukan pembatalan perpanjangan. Tapi dana saya sudah di debet dari gopay tanggal 30 Januari. Bagaimana caranya untuk mengajukan pengembalian dana?",2,2025-01-30 10:54:25
PANTAS RATING JELEK NONTON AJA GA BISA HARUS BAYAR MAHAL LAGI JANGAN DOWNLOAD,1,2025-01-29 14:35:48
keep it up i love this app 🤩,1,2025-01-29 12:42:49
"Tolong lah dibantu, padahal saya tidak pernah menggunakan vpn atau proxy tapi tiba-tiba pas mau nonton muncul notif kesalahan koneksi katanya terhubung ke vpn atau proxy. Rugi saya bayar mahal nggak bisa nonton sama sekali. Eh giliran buat pengaduan katanya harus nonton pake kuota internet jangan pake wifi rumah, ya boros banget dong",1,2025-01-29 08:30:03
"ini kenapa saya gak bisa daftar yah, padahal udah di kirim kodeny tapi tetep salah, padahal kodenya benar?",1,2025-01-28 21:09:06
"Beresin segera dah nih apps, sumpah, masak ga masih tetap ga ada gambarnya cuman ada suaranya aja 😡😡 Satu lagi, ga usah minta user kirim2 keluhan via email. Langsung perbaiki apps nya. Ga usah ngeribetin user 😡😡",1,2025-01-28 17:20:55
"ini aplikasi apaan sih, sumpah rugi banget baru juga mau nonton sering banget ada suaranya gaada gambarnya abis itu buffering mulu padahal koneksi nya bagus, rugii boncosss sumpah!!!",1,2025-01-28 07:37:09
Sangat bagus,5,2025-01-28 05:19:11
Mantap 💪💪💪,5,2025-01-27 23:00:29
"Udah langganan premium tapi ternyata pas di puter filmnya gambar ga keluar hanya ada suaranya saja, udh di unistall dicoba berkali-kali tetep aja engga bisa, ayolah diperbaiki",1,2025-01-27 22:26:47
Berkali kali coba mau langganan ngga bisa bisa. Tulisannya sudah berlangganan tapi semua video ga bisa d akses. Mau bayar pun ngga bisa. Kenapa sulit sekali sistemnya.,1,2025-01-27 21:39:35
Masih belum punya duit untuk membayar film film nya,2,2025-01-27 19:42:31
Kok di smart TV disney hotstar ngealAG terus ya? Suka berhenti dan eror.. Dah bayar sebulan juga ..di email juga eror..hadew.mana dah terlanjur bayar jugaaa,1,2025-01-27 19:42:03
"Ini aplikasi yang bagus,orang orang yang bilang ini tidak bagus itu karena hp kepenuhan memo dan sinyal nya aja terus kalo sinyal jelek ya download aja kan ada fitur download film biar nonton nya bisa offline GK ush langsung kritik deh kalo GK cek dulu",5,2025-01-27 17:43:39
Aplikasi jelek,1,2025-01-27 14:40:19
"Apk gak jelas udah berlangganan basic Pas mau nonton tetap aja gak bisa, mau nonton film tiba tiba nge freeze terus kembali ke layar kunci, udah gitu berkali kali juga hapus apk nya, hapus cache nya.",1,2025-01-27 12:58:26
"pembayaran sudah dilakukan via gopay tapi tidak bisa login, yang tampil error 92, bagaimana ini?",1,2025-01-27 12:20:12
Harganya mahal kualitas nihil nyesel udh langganan setahun lagi😭,1,2025-01-27 11:08:25
Bagus sekali,5,2025-01-27 10:03:07
"OI.. BIKIN APPS DI MAINTAIN LAAA..!! gak bisa masuk, klik ""bantuan"" Halaman tidak tersedia 🤦‍♂️ niat mau tahunan RAGUUU",1,2025-01-27 08:17:01
Apk gak guna di buat,1,2025-01-27 00:12:13
banyak bug,1,2025-01-26 18:09:41
